
Chunking 139 files...
  data/transcripts/unknown_temp6t-ranking-all-pokemon-we-know-are-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_temp6t-top-10-pokemon-for-pokemon-champions-beginners-singles.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsaplusone-mega-scizor-team-building-guide-pokemon-champions-vgc-ranked-compe.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsaplusone-pokemon-champions-tier-list-ranking-every-mega-evolution-in-vgc.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsaplusone-pokemon-champions-vgc-team-building-guide-for-beginners.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsaplusone-pokemon-champions-vgc-team-building-guide.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsavgc-forget-goals-you-need-to-team-build-like-this-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsavgc-im-begging-you-to-use-your-favorites-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsavgc-pokemon-vgc-mega-evolution-competitive-tier-list-updated-for-pokemon-c.md: 4 chunks [transcript]
  data/transcripts/unknown_thatsavgc-the-complete-beginners-guide-pokemon-champions-vgc-on-showdown.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-10-cores-you-need-to-try-in-pokémon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-3-teams-i-used-to-get-to-champion-rank-in-pokémon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-a-complete-guide-to-team-building-in-pokémon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-day-1-mega-dragonite-team-goes-hard-pokémon-champions-vgc.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-ranking-every-mega-evolution-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-the-best-teams-from-a-10000-pokémon-champions-tournament.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-the-best-teams-from-the-first-pokemon-champions-tournament.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-the-definitive-pokémon-champions-recruitment-tier-list.md: 4 chunks [transcript]
  data/transcripts/unknown_thebattleroom-the-only-pokémon-champions-vgc-tier-list-you-need.md: 4 chunks [transcript]
  data/transcripts/unknown_thedelybird-the-top-15-teams-in-pokemon-champions-pokemon-pokémonchampions-vgc.md: 4 chunks [transcript]
  data/transcripts/unknown_timstuh-best-pokemon-in-pokemon-champions-doubles-edition-tier-list-season-m-1-r.md: 4 chunks [transcript]
  data/transcripts/unknown_trainerhg-pokémon-champions-doubles-tier-list-build-winning-teams-with-this-guid.md: 4 chunks [transcript]
  data/transcripts/unknown_trainerhg-the-best-doubles-teams-in-pokémon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_trickrubyvgc-how-to-trick-room-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_verlisify-and-peak-verlisify-pokemon-champions-mega-pokemon-tier-list-best-mega.md: 4 chunks [transcript]
  data/transcripts/unknown_verlisify-the-best-pokemon-champions-team-building-guide.md: 4 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-an-introduction-to-competitive-pokemon.md: 17 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-can-you-win-without-spending-in-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-everything-you-need-to-know-about-pokemon-champions.md: 4 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-i-tried-to-reach-1-in-the-world-in-pokemon-champions.md: 29 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-mega-meganium-is-way-better-than-i-thought.md: 4 chunks [transcript]
  data/transcripts/unknown_wolfeyvgc-my-first-day-in-pokemon-champions.md: 4 chunks [transcript]
Total chunks: 2639
--force: deleting all rows from pc_chunks...

Embedding 2639 chunks...
[embed] texts=64 mode=document HF_TOKEN=UNSET
Loading embedding model Xenova/bge-small-en-v1.5 (first run downloads ~130MB)...
Embedding model loaded.
[embed] local OK, got 64 vectors
  Embedded 64/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 128/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 192/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 256/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 320/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 384/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 448/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 512/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 576/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 640/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 704/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 768/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 832/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 896/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 960/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1024/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1088/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1152/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1216/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1280/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1344/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1408/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1472/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1536/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1600/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1664/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1728/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1792/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1856/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1920/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 1984/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2048/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2112/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2176/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2240/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2304/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2368/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2432/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2496/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2560/2639
[embed] texts=64 mode=document HF_TOKEN=UNSET
[embed] local OK, got 64 vectors
  Embedded 2624/2639
[embed] texts=15 mode=document HF_TOKEN=UNSET
[embed] local OK, got 15 vectors
  Embedded 2639/2639

Upserting 2639 chunks to pc_chunks...
  Upserted 200/2639
  Upserted 400/2639
  Upserted 600/2639
  Upserted 800/2639
  Upserted 1000/2639
  Upserted 1200/2639
  Upserted 1400/2639
  Upserted 1600/2639
  Upserted 1800/2639
  Upserted 2000/2639
  Upserted 2200/2639
  Upserted 2400/2639
  Upserted 2600/2639
  Upserted 2639/2639
Index metadata written to pc_index_meta (5 keys).
Done.
