name,type,category,pp,power,accuracy,effect
Bounce,Flying,Physical,8,85,85,The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target.
Brave Bird,Flying,Physical,16,120,100,The user takes 1/3 of the damage dealt by this move.
Breaking Swipe,Dragon,Physical,16,60,100,Lowers targets' Attack stats by 1 stage.
Brick Break,Fighting,Physical,16,75,100,Removes the Light Screen Reflect and Aurora Veil statuses on the target's side.
Brutal Swing,Dark,Physical,20,60,100,
Bug Bite,Bug,Physical,20,60,100,If the target is holding a Berry the user eats that Berry and gains its effect.
Bug Buzz,Bug,Special,12,90,100,Has a 10% chance of lowering the target's Sp. Def stat by 1 stage.
Bulk Up,Fighting,Status,20,--,101,Boosts the user's Attack and Defense stats by 1 stage.
Bulldoze,Ground,Physical,20,60,100,Lowers targets' Speed stats by 1 stage. When Grassy Terrain is active this move's power is halved.
Bullet Punch,Steel,Physical,20,40,100,
Bullet Seed,Grass,Physical,20,25,100,The user attacks 2 to 5 times in a row.
Burn Up,Fire,Special,8,130,100,The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type.
Burning Jealousy,Fire,Special,8,70,100,Burns targets if their stats were boosted during the turn this move is used.
Calm Mind,Psychic,Status,20,--,101,Boosts the user's Sp. Atk and Sp. Def stats by 1 stage.
Ceaseless Edge,Dark,Physical,16,65,90,Gives the opponent's side the Spikes status.
Charge,Electric,Status,20,--,101,Boosts the user's Sp. Def stat by 1 stage. The user gains the Electric Boost status.
Charge Beam,Electric,Special,12,50,90,Has a 70% chance of boosting the user's Sp. Atk stat by 1 stage.
Charm,Fairy,Status,20,--,100,Lowers the target's Attack stat by 2 stages.
Chilling Water,Water,Special,20,50,100,Lowers the target's Attack stat by 1 stage.
Chilly Reception,Ice,Status,12,--,101,Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pokémon.
Circle Throw,Fighting,Physical,12,60,90,If there are other Pokémon in the target's party that can switch into battle the target is forced to switch out of battle and is replaced by one of those Pokémon at random.
Clanging Scales,Dragon,Special,8,110,100,Lowers the user's Defense stat by 1 stage.
Clangorous Soul,Dragon,Status,8,--,101,The user loses 1/3 of its max HP to boost its Attack Defense Sp. Atk Sp. Def and Speed stats by 1 stage. This move fails if the user doesn't have enough remaining HP.
Clear Smog,Poison,Special,16,50,101,Removes all stat changes from the target. This move never misses.
Close Combat,Fighting,Physical,8,120,100,Lowers the user's Defense and Sp. Def stats by 1 stage.
Coaching,Fighting,Status,12,--,101,Boosts allies' Attack and Defense stats by 1 stage.
Coil,Poison,Status,20,--,101,Boosts the user's Attack and Defense stats as well as its accuracy by 1 stage.
Comeuppance,Dark,Physical,12,--,100,The user retaliates to deal 150% of the damage it took from an opponent's move during the turn this move is used.
Confuse Ray,Ghost,Status,12,--,100,Confuses the target.
Copycat,Normal,Status,20,--,101,The user mimics the move that was last used. This move fails if no other move has been used yet.
Corrosive Gas,Poison,Status,20,--,100,Causes all other Pokémon on the field to lose their held items.
Cosmic Power,Psychic,Status,20,--,101,Boosts the user's Defense and Sp. Def stats by 1 stage.
Cotton Guard,Grass,Status,12,--,101,Boosts the user's Defense stat by 3 stages.
Cotton Spore,Grass,Status,20,--,100,Lowers targets' Speed stats by 2 stages.
Counter,Fighting,Physical,20,--,100,The user retaliates to deal double the damage it took from an opponent's physical move during the turn this move is used.
Covet,Normal,Physical,20,60,100,If the user is not already holding an item it steals the target's held item.
Crabhammer,Water,Physical,12,100,95,This move has a 1-stage Critical-Hit Ratio Boost.
Cross Chop,Fighting,Physical,8,100,80,This move has a 1-stage Critical-Hit Ratio Boost.
Cross Poison,Poison,Physical,20,70,100,Has a 10% chance of poisoning the target. This move has a 1-stage Critical-Hit Ratio Boost.
Crunch,Dark,Physical,16,80,100,Has a 20% chance of lowering the target's Defense stat by 1 stage.
Crush Claw,Normal,Physical,12,75,95,Has a 50% chance of lowering the target's Defense stat by 1 stage.
Curse,Ghost,Status,12,--,101,Ghost-type: The user loses 1/2 of its max HP to give the target the Cursed status.Non-Ghost-type: Lowers the user's Speed stat by 1 stage and boosts its Attack and Defense stats by 1 stage.
Dark Pulse,Dark,Special,16,80,100,Has a 20% chance of making the target flinch.
Darkest Lariat,Dark,Physical,12,85,100,This move ignores the target's stat changes when dealing damage.
Dazzling Gleam,Fairy,Special,12,80,100,
Decorate,Fairy,Status,16,--,101,Boosts the target's Attack and Sp. Atk stats by 2 stages.
Defog,Flying,Status,16,--,101,Lowers the target's evasiveness by 1 stage. Removes statuses such as Reflect Spikes and Safeguard as well as any terrain.
Destiny Bond,Ghost,Status,8,--,101,The user gains the Destiny Bound status. This move fails if used in succession.
Detect,Fighting,Status,8,--,101,The user protects itself from incoming moves for the turn. With each consecutive use this move's chance of success becomes 1/3 of what it was before.
Dig,Ground,Physical,12,80,100,The user gains the Underground status on the turn this move is used then attacks on the following turn.
Dire Claw,Poison,Physical,16,80,100,Has a 30% chance of leaving the target poisoned paralyzed or asleep.
Disable,Normal,Status,20,--,100,Gives the target the Move Disabled status for 4 turns.
Discharge,Electric,Special,16,80,100,Has a 30% chance of paralyzing targets.
Dive,Water,Physical,12,80,100,The user gains the Submerged status on the turn this move is used then attacks on the following turn.
Double Hit,Normal,Physical,12,35,90,The user attacks twice in a row.
Double Team,Normal,Status,16,--,101,Boosts the user's evasiveness by 1 stage.
Double-Edge,Normal,Physical,16,120,100,The user takes 1/3 of the damage dealt by this move.
Draco Meteor,Dragon,Special,8,130,90,Lowers the user's Sp. Atk stat by 2 stages.
Dragon Cheer,Dragon,Status,16,--,101,Gives allies a Critical-Hit Ratio Boost. Dragon types receive a 2-stage boost. All other types receive a 1-stage boost.
Dragon Claw,Dragon,Physical,16,80,100,
Dragon Dance,Dragon,Status,20,--,101,Boosts the user's Attack and Speed stats by 1 stage.
Dragon Darts,Dragon,Physical,12,50,100,The user attacks twice in a row. If there are 2 opposing Pokémon each of them is attacked once.
Dragon Pulse,Dragon,Special,12,85,100,
Dragon Rush,Dragon,Physical,12,100,75,Has a 20% chance of making the target flinch. If the target has the Minimized status this move's power is doubled and it will be sure to hit.
Dragon Tail,Dragon,Physical,12,60,90,If there are other Pokémon in the target's party that can switch into battle the target is forced to switch out of battle and is replaced by one of those Pokémon at random.
Drain Punch,Fighting,Physical,12,75,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Draining Kiss,Fairy,Special,12,50,100,The user's HP is restored by 3/4 of the damage dealt by this move.
Drill Peck,Flying,Physical,20,80,100,
Drill Run,Ground,Physical,12,80,95,This move has a 1-stage Critical-Hit Ratio Boost.
Dual Wingbeat,Flying,Physical,12,40,90,The user attacks twice in a row.
Dynamic Punch,Fighting,Physical,8,100,50,Confuses the target.
Earth Power,Ground,Special,12,90,100,Has a 10% chance of lowering the target's Sp. Def stat by 1 stage.
Earthquake,Ground,Physical,12,100,100,This move's power is doubled against targets that have the Underground status. When Grassy Terrain is active this move's power is halved.
Eerie Impulse,Electric,Status,16,--,100,Lowers the target's Sp. Atk stat by 2 stages.
Eerie Spell,Psychic,Special,8,80,100,Removes 3 PP from the move last used by the target.
Electric Terrain,Electric,Status,12,--,101,Turns the entire field into Electric Terrain for 5 turns.
Electrify,Electric,Status,20,--,101,If this move hits the target before it uses a move its move becomes Electric type for that turn.
Electro Ball,Electric,Special,12,--,100,The higher the user's Speed stat compared to the target's the greater this move's power (ranging between 40 and 150).
Electro Shot,Electric,Special,12,130,100,The user gains the Charging status on the turn this move is used then attacks on the following turn. In rain the user does not gain the Charging status and can attack immediately. The user's Sp. Atk stat is boosted by 1 stage on the turn this move is used.
Electroweb,Electric,Special,16,55,95,Lowers targets' Speed stats by 1 stage.
Encore,Normal,Status,8,--,100,Gives the target the Encore status.
Endeavor,Normal,Physical,8,--,100,Deals damage to the target equal to its remaining HP minus the user's remaining HP. This move fails if the target's HP is the same as or lower than the user's.
Endure,Normal,Status,12,--,101,During the turn this move is used if the user takes damage from a move that would knock it out it will endure the hit with 1 HP. With each consecutive use this move's chance of success becomes 1/3 of what it was before.
Energy Ball,Grass,Special,12,90,100,Has a 10% chance of lowering the target's Sp. Def stat by 1 stage.
Entrainment,Normal,Status,16,--,100,Changes the target's Ability to be the same as the user's.
Eruption,Fire,Special,8,150,100,The less HP the user has left the lower this move's power (ranging between 1 and 150).
Expanding Force,Psychic,Special,12,80,100,If the user is under the effect of Psychic Terrain this move's power is boosted by 50% and its range extends to all opponents.
Explosion,Normal,Physical,8,250,100,The user faints upon using this move.
Extrasensory,Psychic,Special,20,80,100,Has a 10% chance of making the target flinch.
Extreme Speed,Normal,Physical,8,80,100,
Facade,Normal,Physical,20,70,100,This move's power is doubled if the user is poisoned badly poisoned burned or paralyzed. Although this move is a physical move the damage it deals is not halved when the user is burned.
Fairy Lock,Fairy,Status,12,--,101,Gives all Pokémon on the field the Fairy Locked status.
Fake Out,Normal,Physical,12,40,100,Makes the target flinch. This move fails unless it is the first move used by the user after it enters a battle.
Fake Tears,Dark,Status,20,--,100,Lowers the target's Sp. Def stat by 2 stages.
Feather Dance,Flying,Status,16,--,100,Lowers the target's Attack stat by 2 stages.
Feint,Normal,Physical,12,30,100,This move can hit a target using a move such as Protect or Detect and removes the effects of those moves.
Fell Stinger,Bug,Physical,20,50,100,Boosts the user's Attack stat by 3 stages if this move knocks out the target.
Fickle Beam,Dragon,Special,8,80,100,This move has a 30% chance of its power being doubled.
Fiery Dance,Fire,Special,12,80,100,Has a 50% chance of boosting the user's Sp. Atk stat by 1 stage.
Final Gambit,Fighting,Special,8,--,100,The user faints. This move deals damage to the target equal to the user's remaining HP at the time this move was used.
Fire Blast,Fire,Special,8,110,85,Has a 10% chance of burning the target.
Fire Fang,Fire,Physical,16,65,95,Has a 10% chance of burning the target and a 10% chance of making the target flinch.
Fire Lash,Fire,Physical,16,90,100,Lowers the target's Defense stat by 1 stage.
Fire Punch,Fire,Physical,16,75,100,Has a 10% chance of burning the target.
Fire Spin,Fire,Special,16,35,85,Gives the target the Bound status.
First Impression,Bug,Physical,12,100,100,This move fails unless it is the first move used by the user after it enters a battle.
Fissure,Ground,Physical,8,--,30,Knocks out the target. The accuracy of this move is fixed at 30%.
Flail,Normal,Physical,16,--,100,The less HP the user has left the greater this move's power (ranging between 20 and 200).
Flame Charge,Fire,Physical,20,50,100,Boosts the user's Speed stat by 1 stage.
Flamethrower,Fire,Special,16,90,100,Has a 10% chance of burning the target.
Flare Blitz,Fire,Physical,16,120,100,Has a 10% chance of burning the target. Cures the user of being frozen. The user also takes 1/3 of the damage dealt by this move.
Flash Cannon,Steel,Special,12,80,100,Has a 10% chance of lowering the target's Sp. Def stat by 1 stage.
Flatter,Dark,Status,16,--,100,Boosts the target's Sp. Atk stat by 1 stage and confuses it.
Fling,Dark,Physical,12,--,100,This move's power and effects depend on the user's held item. The held item is lost after this move is used.
Flip Turn,Water,Physical,20,60,100,After attacking the user switches out of battle to be replaced by another party Pokémon.
Flower Trick,Grass,Physical,12,70,101,This move never misses and is always a critical hit.
Fly,Flying,Physical,16,90,95,The user gains the Sky-High status on the turn this move is used then attacks on the following turn.
Flying Press,Fighting,Physical,12,100,95,The damage dealt by this move is calculated by combining the effectiveness of the move's own type with that of the Flying type. If the target has the Minimized status this move's power is doubled and it will be sure to hit.
Focus Blast,Fighting,Special,8,120,70,Has a 10% chance of lowering the target's Sp. Def stat by 1 stage.
Focus Energy,Normal,Status,20,--,101,The user gains a 2-stage Critical-Hit Ratio Boost.
Focus Punch,Fighting,Physical,20,150,100,This move fails if the user has already taken damage from a move in the same turn.
Follow Me,Normal,Status,20,--,101,The user redirects opponents' moves toward itself. This effect works only on single-target moves.
Forest's Curse,Grass,Status,20,--,100,Gives the target the Forest Cursed status.
Foul Play,Dark,Physical,16,95,100,The damage dealt by this move is calculated using the target's Attack stat instead of the user's Attack stat.
Freeze-Dry,Ice,Special,20,70,100,This move is also super effective against Water-type Pokémon.
Frenzy Plant,Grass,Special,8,150,90,The user gains the Recharging status on the turn after this move is used.
Frost Breath,Ice,Special,12,60,90,Always a critical hit.
Future Sight,Psychic,Special,12,120,100,Gives the target's spot the Future Attack status.
Gastro Acid,Poison,Status,12,--,100,Gives the target the No Ability status.
Giga Drain,Grass,Special,12,75,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Giga Impact,Normal,Physical,8,150,90,The user gains the Recharging status on the turn after this move is used.
Gigaton Hammer,Steel,Physical,8,160,100,This move can't be used twice in a row.
Glare,Normal,Status,20,--,100,Paralyzes the target.
Grass Knot,Grass,Special,20,--,100,The heavier the target the greater this move's power (ranging between 20 and 120).
Grassy Glide,Grass,Physical,20,55,100,If the user is under the effect of Grassy Terrain this move's priority becomes +1.
Grassy Terrain,Grass,Status,12,--,101,Turns the entire field into Grassy Terrain for 5 turns.
Grav Apple,Grass,Physical,12,90,100,Lowers the target's Defense stat by 1 stage. This move's power is boosted by 50% when the Gravity status is active.
Gravity,Psychic,Status,8,--,101,Gives the entire field the Gravity status for 5 turns.
Growth,Grass,Status,20,--,101,Boosts the user's Attack and Sp. Atk stats by 1 stage. In harsh sunlight these stats will be boosted by 2 stages instead.
Guard Split,Psychic,Status,12,--,101,The user adds its Defense stat to the target's Defense stat then splits the total in half for them to share. It does the same with each of their Sp. Def stats.
Guard Swap,Psychic,Status,12,--,101,The user swaps the changes to its Defense and Sp. Def stats with the changes to the target's Defense and Sp. Def stats.
Guillotine,Normal,Physical,8,--,30,Knocks out the target. The accuracy of this move is fixed at 30%.
Gunk Shot,Poison,Physical,8,120,80,Has a 30% chance of poisoning the target.
Gyro Ball,Steel,Physical,8,--,100,The lower the user's Speed stat compared to the target's the greater this move's power (ranging between 1 and 150).
Hammer Arm,Fighting,Physical,12,100,90,Lowers the user's Speed stat by 1 stage.
Hard Press,Steel,Physical,12,--,100,The more HP the target has left the greater this move's power (ranging between 1 and 100).
Haze,Ice,Status,20,--,101,Eliminates every stat change on the entire field.
Head Smash,Rock,Physical,8,150,80,The user takes 1/2 of the damage dealt by this move.
Headlong Rush,Ground,Physical,8,120,100,Lowers the user's Defense and Sp. Def stats by 1 stage.
Heal Bell,Normal,Status,8,--,101,The user cures the status conditions of all the Pokémon in its party including itself as well as its allies.
Heal Pulse,Psychic,Status,12,--,101,Restores 1/2 of the target's max HP.
Healing Wish,Psychic,Status,12,--,101,The user faints. The Pokémon taking its place will have its HP fully restored and its status conditions cured.
Heat Crash,Fire,Physical,12,--,100,The more the user outweighs the target the greater this move's power (ranging between 40 and 120). If the target has the Minimized status this move's power is doubled and it will be sure to hit.
Heat Wave,Fire,Special,12,95,90,Has a 10% chance of burning targets.
Heavy Slam,Steel,Physical,12,--,100,The more the user outweighs the target the greater this move's power (ranging between 40 and 120). If the target has the Minimized status this move's power is doubled and it will be sure to hit.
Helping Hand,Normal,Status,20,--,101,Boosts the power of an ally's move by 50% during the turn this move is used.
Hex,Ghost,Special,12,65,100,This move's power is doubled if the target has a status condition.
High Horsepower,Ground,Physical,12,95,95,
High Jump Kick,Fighting,Physical,12,130,90,If this move misses or fails the user takes damage equal to 1/2 of its max HP.
Horn Drill,Normal,Physical,8,--,30,Knocks out the target. The accuracy of this move is fixed at 30%.
Horn Leech,Grass,Physical,12,75,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Howl,Normal,Status,20,--,101,Boosts the Attack stats of the user and its allies by 1 stage.
Hurricane,Flying,Special,12,110,70,Has a 30% chance of confusing the target. This move never misses in rain and can hit a target that has the Sky-High status.
Hydro Cannon,Water,Special,8,150,90,The user gains the Recharging status on the turn after this move is used.
Hydro Pump,Water,Special,8,110,80,
Hyper Beam,Normal,Special,8,150,90,The user gains the Recharging status on the turn after this move is used.
Hyper Voice,Normal,Special,12,90,100,
Hypnosis,Psychic,Status,20,--,60,Puts the target to sleep.
Ice Beam,Ice,Special,12,90,100,Has a 10% chance of freezing the target.
Ice Fang,Ice,Physical,16,65,95,Has a 10% chance of freezing the target and a 10% chance of making the target flinch.
Ice Hammer,Ice,Physical,12,100,90,Lowers the user's Speed stat by 1 stage.
Ice Punch,Ice,Physical,16,75,100,Has a 10% chance of freezing the target.
Ice Shard,Ice,Physical,20,40,100,
Ice Spinner,Ice,Physical,16,80,100,Removes any terrain.
Icicle Crash,Ice,Physical,12,85,90,Has a 30% chance of making the target flinch.
Icicle Spear,Ice,Physical,20,25,100,The user attacks 2 to 5 times in a row.
Icy Wind,Ice,Special,16,55,95,Lowers targets' Speed stats by 1 stage.
Imprison,Psychic,Status,12,--,101,The user gains the Sealing Off status.
Infernal Parade,Ghost,Special,16,65,100,Has a 30% chance of burning the target. This move's power is doubled if the target has a status condition.
Inferno,Fire,Special,8,100,50,Burns the target.
Infestation,Bug,Special,20,20,100,Gives the target the Bound status.
Ingrain,Grass,Status,20,--,101,The user gains the Ingrained status.
Instruct,Psychic,Status,16,--,101,The user makes the target reuse the last move it used.
Iron Defense,Steel,Status,16,--,101,Boosts the user's Defense stat by 2 stages.
Iron Head,Steel,Physical,16,80,100,Has a 20% chance of making the target flinch.
Iron Tail,Steel,Physical,16,100,75,Has a 30% chance of lowering the target's Defense stat by 1 stage.
Jet Punch,Water,Physical,16,60,100,
King's Shield,Steel,Status,8,--,101,The user protects itself from incoming attacks for the turn and changes into its Shield Forme. Any attackers that use contact moves against the user during this turn will have their Attack stats lowered by 1 stage. With each consecutive use this move's chance of success becomes 1/3 of what it was before.
Knock Off,Dark,Physical,20,65,100,This move's power is boosted by 50% if the target is holding an item. Causes the target to lose its held item.
Kowtow Cleave,Dark,Physical,12,85,101,This move never misses.
Lash Out,Dark,Physical,8,75,100,This move's power is doubled if the user's stats were lowered during the turn this move is used.
Last Resort,Normal,Physical,8,140,100,This move fails unless the user has already used all the other moves it knows.
Last Respects,Ghost,Physical,12,50,100,This move's power is increased by 50 for each time that a Pokémon in the user's party has fainted.
Lava Plume,Fire,Special,16,80,100,Has a 30% chance of burning targets.
Leaf Blade,Grass,Physical,16,90,100,This move has a 1-stage Critical-Hit Ratio Boost.
Leaf Storm,Grass,Special,8,130,90,Lowers the user's Sp. Atk stat by 2 stages.
Leech Life,Bug,Physical,12,80,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Leech Seed,Grass,Status,12,--,90,Gives the target the Leech Seeded status.
Life Dew,Water,Status,12,--,101,Restores 1/4 of the max HP of the user and its allies.
Light Screen,Psychic,Status,20,--,101,Gives the user's side the Light Screen status for 5 turns.
Light of Ruin,Fairy,Special,8,140,90,The user takes 1/2 of the damage dealt by this move.
Liquidation,Water,Physical,12,85,100,Has a 20% chance of lowering the target's Defense stat by 1 stage.
Lock-On,Normal,Status,8,--,101,The user gains the Locked On status.
Low Kick,Fighting,Physical,20,--,100,The heavier the target the greater this move's power (ranging between 20 and 120).
Low Sweep,Fighting,Physical,20,65,100,Lowers the target's Speed stat by 1 stage.
Lumina Crash,Psychic,Special,12,80,100,Lowers the target's Sp. Def stat by 2 stages.
Lunge,Bug,Physical,16,80,100,Lowers the target's Attack stat by 1 stage.
Mach Punch,Fighting,Physical,20,40,100,
Magic Powder,Psychic,Status,20,--,100,Changes the target's type to Psychic.
Magic Room,Psychic,Status,12,--,101,Gives the entire field the Magic Room status for 5 turns.
Magnet Rise,Electric,Status,12,--,101,The user gains the Magnet Rise status.
Magnetic Flux,Electric,Status,20,--,101,If the user or its allies have the Plus Ability or the Minus Ability their Defense and Sp. Def stats are boosted by 1 stage.
Matcha Gotcha,Grass,Special,16,80,90,Has a 20% chance of burning targets. The user's HP is restored by 1/2 of the damage dealt by this move.
Mean Look,Normal,Status,8,--,101,Gives the target the Can't Escape status.
Mega Kick,Normal,Physical,8,120,75,
Megahorn,Bug,Physical,12,120,85,
Memento,Dark,Status,12,--,100,Lowers the target's Attack and Sp. Atk stats by 2 stages. The user faints upon using this move.
Metal Burst,Steel,Physical,12,--,100,The user retaliates to deal 150% of the damage it took from an opponent's move during the turn this move is used.
Metal Sound,Steel,Status,20,--,85,Lowers the target's Sp. Def stat by 2 stages.
Meteor Beam,Rock,Special,12,120,90,The user gains the Charging status on the turn this move is used then attacks on the following turn. The user's Sp. Atk stat is boosted by 1 stage on the turn this move is used.
Meteor Mash,Steel,Physical,12,90,90,Has a 20% chance of boosting the user's Attack stat by 1 stage.
Milk Drink,Normal,Status,8,--,101,Restores 1/2 of the user's max HP.
Minimize,Normal,Status,12,--,101,Boosts the user's evasiveness by 2 stages. The user gains the Minimized status.
Mirror Coat,Psychic,Special,20,--,100,The user retaliates to deal double the damage it took from an opponent's special move during the turn this move is used.
Misty Explosion,Fairy,Special,8,100,100,If the user is under the effect of Misty Terrain this move's power is boosted by 50%. The user faints upon using this move.
Misty Terrain,Fairy,Status,12,--,101,Turns the entire field into Misty Terrain for 5 turns.
Moonblast,Fairy,Special,16,95,100,Has a 10% chance of lowering the target's Sp. Atk stat by 1 stage.
Moonlight,Fairy,Status,8,--,101,Restores 1/2 of the user's max HP. In harsh sunlight 2/3 of its max HP will be restored instead. In all other weather conditions 1/4 of its max HP will be restored instead.
Morning Sun,Normal,Status,8,--,101,Restores 1/2 of the user's max HP. In harsh sunlight 2/3 of its max HP will be restored instead. In all other weather conditions 1/4 of its max HP will be restored instead.
Mortal Spin,Poison,Physical,16,30,100,Removes the Bound and Leech Seeded statuses from the user and removes the Sticky Web Stealth Rock Spikes and Toxic Spikes statuses from the user's side. Poisons targets.
Mountain Gale,Ice,Physical,12,120,85,Has a 30% chance of making the target flinch.
Mud Shot,Ground,Special,16,55,95,Lowers the target's Speed stat by 1 stage.
Mud-Slap,Ground,Special,12,20,100,Lowers the target's accuracy by 1 stage.
Muddy Water,Water,Special,12,90,85,Has a 30% chance of lowering targets' accuracy by 1 stage.
Mystical Fire,Fire,Special,12,75,100,Lowers the target's Sp. Atk stat by 1 stage.
Nasty Plot,Dark,Status,20,--,101,Boosts the user's Sp. Atk stat by 2 stages.
Night Daze,Dark,Special,12,90,95,Has a 40% chance of lowering the target's accuracy by 1 stage.
Night Shade,Ghost,Special,16,--,100,Deals 50 HP of damage.
Night Slash,Dark,Physical,20,70,100,This move has a 1-stage Critical-Hit Ratio Boost.
Noble Roar,Normal,Status,20,--,100,Lowers the target's Attack and Sp. Atk stats by 1 stage.
Nuzzle,Electric,Physical,20,20,100,Paralyzes the target.
Outrage,Dragon,Physical,12,120,100,The user gains the Rampaging status.
Overheat,Fire,Special,8,130,90,Lowers the user's Sp. Atk stat by 2 stages.
Pain Split,Normal,Status,20,--,101,The user adds its remaining HP to the target's remaining HP then splits the total in half for them to share.
Parabolic Charge,Electric,Special,20,65,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Parting Shot,Dark,Status,20,--,100,Lowers the target's Attack and Sp. Atk stats by 1 stage. The user then switches out of battle to be replaced by another party Pokémon.
Payback,Dark,Physical,12,50,100,This move's power is doubled if the user attacks after the target.
Perish Song,Normal,Status,8,--,101,Gives all Pokémon on the field the Perishing status.
Petal Blizzard,Grass,Physical,16,90,100,
Petal Dance,Grass,Special,12,120,100,The user gains the Rampaging status.
Phantom Force,Ghost,Physical,12,90,100,The user gains the Concealed status on the turn this move is used then attacks on the following turn. This move can hit a target using a move such as Protect or Detect and removes the effects of those moves.
