attacker,defender,best_move,damage_pct,reverse_move,reverse_pct,speed_advantage,old_score,offense_score,defense_score,speed_score,typing_score,movepool_score,mega_score,efficiency,meta_weight,is_meta,is_ohko,is_2hko,coverage_depth,survival_margin,trick_room_favor,priority_net,coverage_types,status_threat_net,setup_potential_net
Venusaur,Skarmory,Hyper Beam,42.9,Brave Bird,147.1,0,-1.04,-0.714,-0.521,-0.062,-0.925,-0.015,0.000,-0.451,0.02,1,0,0,0.000,-0.471,-0.300,0.000,0.600,0.100,-0.500
Venusaur,Houndoom,Hyper Beam,73.3,Overheat,163.9,0,-0.91,-0.211,-0.565,-0.120,-0.308,-0.010,0.000,-0.26,0.05,0,0,1,0.000,-0.639,0.000,0.000,0.600,0.100,-0.200
Venusaur,Tyranitar,Frenzy Plant,157.7,Giga Impact,85.2,0.19999999999999996,0.78,0.850,-0.149,0.040,0.158,-0.100,0.000,0.231,0.275,1,1,1,0.500,0.148,-0.300,0.000,0.600,-0.200,0.200
Venusaur,Pelipper,Frenzy Plant,134.1,Ice Beam,69.7,0.19999999999999996,0.7,0.594,0.075,-0.022,-0.158,0.100,0.000,0.187,0.294,1,1,1,0.000,0.303,-0.300,0.000,0.600,0.300,0.200
Venusaur,Gardevoir,Sludge Wave,109.1,Future Sight,163.9,0,-0.55,0.102,-0.490,-0.075,0.075,-0.350,0.000,-0.134,0.137,1,0,1,0.250,-0.639,0.000,0.000,0.600,-0.700,0.000
Venusaur,Sableye,Frenzy Plant,153.6,Foul Play,36.8,0.19999999999999996,1.23,0.700,0.141,0.027,-0.075,0.035,0.000,0.247,0.039,1,1,1,0.000,0.632,-0.300,-0.500,0.600,-0.400,0.500
Venusaur,Aggron,Frenzy Plant,140.7,Head Smash,112.3,0.19999999999999996,0.34,0.638,-0.312,0.127,-0.150,-0.150,0.000,0.109,0.039,1,1,1,0.000,-0.123,-0.300,0.000,0.600,-0.200,0.000
Venusaur,Medicham,Frenzy Plant,127.4,Zen Headbutt,166.5,0,-0.39,0.549,-0.562,-0.045,-0.158,0.040,0.000,0.003,0.05,0,1,1,0.000,-0.665,0.000,0.000,0.600,0.100,0.000
Venusaur,Manectric,Frenzy Plant,140.7,Thunderbolt,27.1,0,1.14,0.638,0.331,-0.215,0.308,0.195,0.000,0.281,0.02,1,1,1,0.000,0.729,0.000,0.000,0.600,0.000,0.500
Venusaur,Sharpedo,Frenzy Plant,369.7,Giga Impact,79.4,0,2.9,0.850,-0.039,-0.142,0.308,0.020,0.000,0.249,0.05,0,1,1,0.500,0.206,0.000,0.000,0.600,0.100,0.200
Venusaur,Camerupt,Frenzy Plant,118.6,Eruption,183.2,0.7,-0.44,0.491,-0.681,0.245,-0.308,0.000,0.000,-0.005,0.02,1,1,1,0.000,-0.832,-0.300,0.000,0.600,0.000,0.000
Venusaur,Torkoal,Hyper Beam,83.4,Eruption,120.6,1,-0.07,-0.144,-0.305,0.325,-0.308,0.020,0.000,-0.083,0.098,1,0,1,0.000,-0.206,-0.300,0.000,0.600,0.000,-0.200
Venusaur,Altaria,Hyper Beam,58.7,Sky Attack,158.7,0,-1,-0.609,-0.590,-0.045,-0.308,-0.050,0.000,-0.375,0.02,1,0,0,0.000,-0.587,0.000,0.000,0.600,0.000,-0.200
Venusaur,Milotic,Frenzy Plant,134.1,Ice Beam,72.3,0,0.62,0.744,0.060,-0.030,0.542,0.120,0.000,0.298,0.176,1,1,1,0.500,0.277,0.000,0.000,0.600,0.000,0.200
Venusaur,Castform,Frenzy Plant,124.8,Body Slam,48.4,0,0.76,0.532,0.072,-0.032,0.000,0.125,0.000,0.183,0.05,0,1,1,0.000,0.516,-0.300,0.000,0.600,0.000,0.500
Venusaur,Banette,Frenzy Plant,141,Poltergeist,83.9,0.19999999999999996,0.63,0.640,-0.141,-0.030,-0.075,-0.180,0.000,0.125,0.05,0,1,1,0.000,0.161,-0.300,0.000,0.600,-0.400,0.200
Venusaur,Chimecho,Frenzy Plant,100,Future Sight,136.8,0.19999999999999996,-0.31,-0.033,-0.402,-0.030,-0.233,-0.350,0.000,-0.175,0.05,0,0,1,0.000,-0.368,-0.300,0.000,0.600,-0.700,0.000
Venusaur,Absol,Frenzy Plant,145.7,Giga Impact,83.9,0,0.62,0.671,-0.141,-0.072,0.000,-0.100,0.000,0.142,0.05,0,1,1,0.000,0.161,-0.300,0.000,0.600,-0.200,0.200
Venusaur,Glalie,Frenzy Plant,106.5,Explosion,100.6,0,0.06,0.010,-0.242,-0.022,-0.233,0.040,0.000,-0.081,0.05,0,0,1,0.000,-0.006,0.000,0.000,0.600,0.100,0.000
Venusaur,Torterra,Frenzy Plant,92.4,Headlong Rush,89,0.19999999999999996,0.09,-0.084,-0.097,0.117,0.075,0.050,0.000,-0.014,0.05,0,0,1,0.000,0.110,-0.300,0.000,0.600,0.300,0.000
Venusaur,Infernape,Hyper Beam,79.5,Flare Blitz,171.6,0,-0.92,-0.170,-0.593,-0.224,-0.233,-0.090,0.000,-0.276,0.05,0,0,1,0.000,-0.716,0.000,0.000,0.600,-0.100,-0.200
Venusaur,Empoleon,Frenzy Plant,85.5,Steel Beam,89,0.19999999999999996,0.02,-0.130,-0.041,0.063,-0.075,-0.070,0.000,-0.051,0.02,1,0,1,0.000,0.110,-0.300,0.000,0.600,0.000,0.000
Venusaur,Luxray,Frenzy Plant,107.1,Psychic Fangs,90.3,0,0.17,0.014,-0.105,-0.032,0.308,-0.020,0.000,0,0.05,0,0,1,0.000,0.097,-0.300,0.000,0.600,0.000,0.200
Venusaur,Roserade,Hyper Beam,65.2,Hyper Beam,68.4,0,-0.03,-0.265,0.083,-0.080,0.000,-0.120,0.000,-0.087,0.05,0,0,1,0.000,0.316,0.000,0.000,0.600,-0.300,0.000
Venusaur,Rampardos,Frenzy Plant,269.8,Head Smash,149,0.19999999999999996,1.27,0.850,-0.532,0.101,0.158,0.050,0.000,0.163,0.05,0,1,1,0.500,-0.490,-0.300,0.000,0.600,0.300,0.000
Venusaur,Bastiodon,Frenzy Plant,77.8,Steel Roller,62.6,0.7,0.36,-0.181,-0.014,0.325,-0.150,0.040,0.000,-0.004,0.05,0,0,1,0.000,0.374,-0.300,0.000,0.600,0.100,0.000
Venusaur,Lopunny,Frenzy Plant,101.4,Fake Out,23.9,0,0.78,-0.024,0.219,-0.315,0.000,0.045,0.000,-0.011,0.02,1,0,1,0.000,0.761,0.000,-0.500,0.600,-0.200,0.500
Venusaur,Spiritomb,Frenzy Plant,103.2,Poltergeist,73.5,0.7,0.51,-0.012,-0.079,0.218,-0.075,-0.100,0.000,0.003,0.05,0,0,1,0.000,0.265,-0.300,0.000,0.600,-0.200,0.200
Venusaur,Garchomp,Frenzy Plant,85.8,Earthquake,83.9,0,0.02,-0.128,-0.141,-0.176,-0.075,0.120,0.000,-0.104,0.745,1,0,1,0.000,0.161,0.000,0.000,0.600,0.300,0.000
Venusaur,Lucario,Frenzy Plant,62.1,Meteor Mash,44.5,0,0.18,-0.286,0.170,-0.180,-0.383,0.265,0.000,-0.091,0.039,1,0,1,0.000,0.555,0.000,-0.500,0.600,0.300,0.300
Venusaur,Hippowdon,Frenzy Plant,194.5,Earthquake,75.5,0.7,1.4,0.850,-0.091,0.189,0.158,0.050,0.000,0.291,0.05,0,1,1,0.500,0.245,-0.300,0.000,0.600,0.000,0.200
Venusaur,Toxicroak,Hyper Beam,81,Gunk Shot,87.1,0,-0.06,-0.160,-0.086,-0.063,-0.308,-0.040,0.000,-0.117,0.05,0,0,1,0.000,0.129,0.000,0.000,0.600,-0.100,0.000
Venusaur,Abomasnow,Sludge Wave,121.2,Ice Hammer,132.9,0.19999999999999996,-0.06,0.583,-0.360,0.063,0.000,0.050,0.000,0.102,0.05,0,1,1,0.250,-0.329,-0.300,0.000,0.600,0.300,0.000
Venusaur,Weavile,Frenzy Plant,108.3,Knock Off,52.3,0,0.56,0.022,0.048,-0.483,-0.233,0.090,0.000,-0.092,0.02,1,0,1,0.000,0.477,0.000,-0.500,0.600,0.100,0.200
Venusaur,Rhyperior,Frenzy Plant,456.8,Rock Wrecker,132.3,0.7,3.46,0.850,-0.432,0.223,0.392,0.050,0.000,0.236,0.05,0,1,1,0.500,-0.323,-0.300,0.000,0.600,0.300,0.000
Venusaur,Leafeon,Sludge Wave,175.7,Last Resort,69.7,0,1.06,0.775,0.019,-0.120,0.700,-0.020,0.000,0.281,0.05,0,1,1,0.250,0.303,0.000,0.000,0.600,0.000,0.200
Venusaur,Glaceon,Frenzy Plant,102.9,Ice Beam,127.7,0.19999999999999996,-0.19,-0.014,-0.348,0.022,-0.233,-0.070,0.000,-0.117,0.05,0,0,1,0.000,-0.277,-0.300,0.000,0.600,0.000,0.000
Venusaur,Gliscor,Frenzy Plant,114.7,Earthquake,67.7,0,0.47,0.065,-0.044,-0.165,-0.308,0.170,0.000,-0.038,0.05,0,0,1,0.000,0.323,0.000,0.000,0.600,0.300,0.200
Venusaur,Mamoswine,Frenzy Plant,220.5,Icicle Crash,143.2,0,0.77,0.850,-0.497,-0.122,-0.075,0.190,0.000,0.118,0.02,1,1,1,0.500,-0.432,0.000,-0.500,0.600,0.300,0.000
Venusaur,Gallade,Frenzy Plant,86,Giga Impact,81.3,0,0.05,-0.127,-0.051,-0.075,-0.158,-0.280,0.000,-0.11,0.02,1,0,1,0.000,0.187,0.000,0.000,0.600,-0.700,0.000
Venusaur,Froslass,Frenzy Plant,124.8,Blizzard,71,0,0.54,0.532,-0.008,-0.277,-0.308,0.040,0.000,0.075,0.196,1,1,1,0.000,0.290,0.000,0.000,0.600,-0.200,0.200
Venusaur,Rotom,Frenzy Plant,135.2,Shadow Ball,46.5,0,0.89,0.601,0.214,-0.126,0.000,0.125,0.000,0.221,0.05,0,1,1,0.000,0.535,0.000,0.000,0.600,0.000,0.500
Venusaur,Rotom-Heat,Hyper Beam,69.6,Overheat,158.7,0,-0.89,-0.236,-0.459,-0.085,-0.233,0.020,0.000,-0.224,0.059,1,0,1,0.000,-0.587,0.000,0.000,0.600,0.000,-0.200
Venusaur,Rotom-Wash,Frenzy Plant,208,Hydro Pump,33.5,0,1.75,0.850,0.367,-0.085,0.617,0.195,0.000,0.411,0.353,1,1,1,0.500,0.665,0.000,0.000,0.600,0.000,0.500
Venusaur,Rotom-Frost,Frenzy Plant,104,Blizzard,162.6,0,-0.59,-0.007,-0.482,-0.085,-0.158,0.070,0.000,-0.148,0.02,1,0,1,0.000,-0.626,0.000,0.000,0.600,0.000,0.000
Venusaur,Rotom-Fan,Hyper Beam,69.6,Hyper Voice,36.8,0,0.33,-0.236,0.273,-0.085,-0.233,0.075,0.000,-0.036,0.05,0,0,1,0.000,0.632,0.000,0.000,0.600,0.000,0.300
Venusaur,Rotom-Mow,Sludge Wave,134.4,Hyper Voice,36.8,0,0.98,0.671,0.348,-0.085,0.542,0.125,0.000,0.338,0.05,0,1,1,0.250,0.632,0.000,0.000,0.600,0.000,0.500
Venusaur,Serperior,Sludge Wave,121.3,Giga Impact,58.7,0,0.63,0.584,0.085,-0.264,0.700,-0.030,0.000,0.21,0.05,0,1,1,0.250,0.413,0.000,0.000,0.600,-0.200,0.200
Venusaur,Emboar,Hyper Beam,69.2,Flare Blitz,193.5,0.19999999999999996,-1.18,-0.239,-0.724,0.045,-0.233,-0.130,0.000,-0.28,0.05,0,0,1,0.000,-0.935,-0.300,0.000,0.600,-0.200,-0.200
Venusaur,Samurott,Frenzy Plant,212.9,Ice Beam,76.1,0,1.37,0.850,0.037,-0.017,0.542,-0.060,0.000,0.309,0.05,0,1,1,0.500,0.239,-0.300,0.000,0.600,-0.100,0.200
Venusaur,Samurott-Hisui,Frenzy Plant,232.7,Giga Impact,73.5,0,1.59,0.850,-0.004,-0.063,0.308,-0.060,0.000,0.266,0.05,0,1,1,0.500,0.265,0.000,0.000,0.600,-0.100,0.200
Venusaur,Watchog,Frenzy Plant,136.3,Giga Impact,94.8,0,0.42,0.609,-0.207,-0.066,0.000,-0.070,0.000,0.111,0.05,0,1,1,0.000,0.052,-0.300,0.000,0.600,-0.300,0.200
Venusaur,Liepard,Frenzy Plant,166.9,Psychic Fangs,73.5,0,0.93,0.700,-0.079,-0.223,0.000,-0.300,0.000,0.116,0.05,0,1,1,0.000,0.265,0.000,0.000,0.600,-0.700,0.200
Venusaur,Simisage,Sludge Wave,168,Giga Impact,69,0,0.99,0.775,0.023,-0.168,0.700,0.090,0.000,0.284,0.05,0,1,1,0.250,0.310,0.000,0.000,0.600,0.100,0.200
Venusaur,Simisear,Hyper Beam,87.3,Flare Blitz,166.5,0,-0.79,-0.118,-0.637,-0.168,-0.308,-0.200,0.000,-0.279,0.05,0,0,1,0.000,-0.665,0.000,0.000,0.600,-0.200,-0.200
Venusaur,Simipour,Frenzy Plant,261.3,Giga Impact,69,0,1.92,0.850,0.023,-0.191,0.542,0.020,0.000,0.279,0.05,0,1,1,0.500,0.310,0.000,0.000,0.600,0.100,0.200
Venusaur,Excadrill,Frenzy Plant,103.8,Earthquake,85.8,0,0.18,-0.008,-0.153,-0.064,-0.150,0.100,0.000,-0.058,0.137,1,0,1,0.000,0.142,0.000,0.000,0.600,0.300,0.200
Venusaur,Audino,Frenzy Plant,87.6,Giga Impact,77.4,0.19999999999999996,0.16,-0.116,-0.102,0.090,0.000,-0.200,0.000,-0.062,0.05,0,0,1,0.000,0.226,-0.300,0.000,0.600,-0.500,0.000
Venusaur,Conkeldurr,Frenzy Plant,106.7,Ice Punch,106.5,0.7,0.21,0.011,-0.202,0.105,0.308,0.110,0.000,0.016,0.02,1,0,1,0.000,-0.065,-0.300,-0.500,0.600,0.100,0.000
Venusaur,Whimsicott,Sludge Wave,323,Psychic,60.6,0,2.62,0.775,0.205,-0.363,0.775,-0.180,0.000,0.271,0.353,1,1,1,0.250,0.394,0.000,0.000,0.600,-0.400,0.200
Venusaur,Krookodile,Frenzy Plant,212.9,Earthquake,78.1,0,1.35,0.850,-0.107,-0.096,0.158,0.020,0.000,0.227,0.05,0,1,1,0.500,0.219,0.000,0.000,0.600,0.100,0.200
Venusaur,Cofagrigus,Frenzy Plant,99.2,Hyper Beam,57.4,0.7,0.63,-0.039,0.074,0.280,-0.075,0.120,0.000,0.067,0.05,0,0,1,0.000,0.426,-0.300,0.000,0.600,0.300,0.000
Venusaur,Garbodor,Hyper Beam,69,Explosion,111.6,0,-0.43,-0.240,-0.308,-0.035,-0.383,0.070,0.000,-0.187,0.05,0,0,1,0.000,-0.116,-0.300,0.000,0.600,0.300,-0.200
Venusaur,Zoroark,Frenzy Plant,151.1,Flamethrower,81.3,0,0.7,0.700,-0.069,-0.200,0.000,-0.060,0.000,0.147,0.05,0,1,1,0.000,0.187,0.000,0.000,0.600,-0.100,0.200
Venusaur,Zoroark-Hisui,Frenzy Plant,156.9,Hyper Voice,61.9,0,0.95,0.700,0.047,-0.263,-0.075,0.090,0.000,0.171,0.02,1,1,1,0.000,0.381,0.000,0.000,0.600,0.100,0.200
Venusaur,Reuniclus,Frenzy Plant,84.9,Future Sight,163.9,0.7,-0.58,-0.134,-0.565,0.265,-0.233,-0.200,0.000,-0.172,0.05,0,0,1,0.000,-0.639,-0.300,0.000,0.600,-0.200,-0.200
Venusaur,Vanilluxe,Frenzy Plant,98.6,Ice Beam,113.5,0,-0.15,-0.043,-0.263,-0.089,-0.233,-0.010,0.000,-0.121,0.05,0,0,1,0.000,-0.135,-0.300,0.000,0.600,0.100,-0.200
Venusaur,Emolga,Hyper Beam,104.6,Acrobatics,65.8,0,0.39,-0.003,0.042,-0.237,-0.233,-0.230,0.000,-0.084,0.05,0,0,1,0.000,0.342,0.000,0.000,0.600,-0.700,0.200
Venusaur,Chandelure,Frenzy Plant,55.6,Heat Wave,147.1,0,-0.91,-0.629,-0.464,-0.045,-0.617,0.060,0.000,-0.37,0.02,1,0,0,0.000,-0.471,0.000,0.000,0.600,0.100,-0.200
