attacker,defender,best_move,damage_pct,reverse_move,reverse_pct,speed_advantage,score
Venusaur,Sneasler,Hyper Beam,71,Dire Claw,67.7,0,0.03
Venusaur,Meowscarada,Sludge Wave,152.3,Knock Off,49,0,1.03
Venusaur,Skeledirge,Frenzy Plant,48,Blast Burn,189.7,0.19999999999999996,-1.36
Venusaur,Quaquaval,Frenzy Plant,215,Brave Bird,126.5,0,0.89
Venusaur,Maushold,Frenzy Plant,115.4,Giga Impact,87.7,0,0.28
Venusaur,Garganacl,Frenzy Plant,171.4,Explosion,116.1,0.7,0.76
Venusaur,Armarouge,Hyper Beam,68.8,Burn Up,178.1,0,-1.09
Venusaur,Ceruledge,Frenzy Plant,46,Bitter Blade,147.1,0,-1.01
Venusaur,Bellibolt,Frenzy Plant,86.4,Hyper Beam,60,0.7,0.47
Venusaur,Scovillain,Sludge Wave,175.7,Flare Blitz,178.1,0,-0.02
Venusaur,Espathra,Frenzy Plant,120,Psychic,108.4,0,0.12
Venusaur,Tinkaton,Frenzy Plant,41.3,Gigaton Hammer,112.3,0,-0.71
Venusaur,Palafin,Frenzy Plant,227.4,Wave Crash,40,0,1.87
Venusaur,Palafin-Hero,Frenzy Plant,176,Giga Impact,97.4,0,0.79
Venusaur,Orthworm,Frenzy Plant,74.5,Giga Impact,63.2,0.19999999999999996,0.17
Venusaur,Glimmora,Frenzy Plant,103.2,Sludge Bomb,63.9,0,0.39
Venusaur,Farigiraf,Frenzy Plant,92.8,Psychic,113.5,0.19999999999999996,-0.15
Venusaur,Kingambit,Frenzy Plant,44.6,Kowtow Cleave,87.7,0.19999999999999996,-0.37
Venusaur,Sinistcha,Sludge Wave,71.9,Hyper Beam,67.1,0,0.05
Venusaur,Archaludon,Hyper Beam,38.8,Draco Meteor,89,0,-0.5
Venusaur,Hydrapple,Sludge Wave,116,Draco Meteor,87.1,0.7,0.5
Venusaur,Mega Venusaur,Hyper Beam,51,Hyper Beam,67.7,0,-0.17
Venusaur,Mega Charizard X,Hyper Beam,68.6,Heat Wave,92.9,0,-0.24
Venusaur,Mega Charizard Y,Hyper Beam,53.6,Heat Wave,156.1,0,-1.02
Venusaur,Mega Blastoise,Frenzy Plant,159.7,Water Spout,54.2,0,1.06
Venusaur,Mega Beedrill,Hyper Beam,78.6,Lunge,99.4,0,-0.21
Venusaur,Mega Pidgeot,Hyper Beam,69.6,Hyper Beam,108.4,0,-0.39
Venusaur,Mega Clefable,Sludge Wave,95.3,Future Sight,116.1,0,-0.21
Venusaur,Mega Alakazam,Frenzy Plant,101.5,Future Sight,210.3,0,-1.09
Venusaur,Mega Victreebel,Hyper Beam,61.9,Hyper Beam,72.3,0,-0.1
Venusaur,Mega Slowbro,Frenzy Plant,194.1,Future Sight,170.3,0.7,0.45
Venusaur,Mega Gengar,Frenzy Plant,53.3,Sludge Bomb,78.1,0,-0.25
Venusaur,Mega Kangaskhan,Frenzy Plant,76.7,Double-Edge,97.4,0,-0.21
Venusaur,Mega Starmie,Frenzy Plant,195.6,Psycho Cut,127.7,0,0.68
Venusaur,Mega Pinsir,Hyper Beam,71.4,Giga Impact,94.8,0,-0.23
Venusaur,Mega Gyarados,Frenzy Plant,130.6,Giga Impact,94.8,0,0.36
Venusaur,Mega Aerodactyl,Frenzy Plant,92.9,Dual Wingbeat,92.3,0,0.01
Venusaur,Mega Dragonite,Hyper Beam,22.9,Hurricane,167.7,0,-1.45
Venusaur,Mega Meganium,Sludge Wave,201.3,Hyper Beam,75.5,0,1.26
Venusaur,Mega Feraligatr,Frenzy Plant,90.6,Double-Edge,140,0,-0.49
Venusaur,Mega Ampharos,Hyper Beam,51.5,Hyper Beam,83.9,0.7,-0.11
Venusaur,Mega Steelix,Frenzy Plant,96,Self-Destruct,107.7,0.7,0.09
Venusaur,Mega Scizor,Hyper Beam,31.7,Bug Bite,83.9,0,-0.52
Venusaur,Mega Heracross,Hyper Beam,56.8,Megahorn,130.3,0,-0.74
Venusaur,Mega Skarmory,Hyper Beam,32.9,Brave Bird,212.9,0,-1.8
Venusaur,Mega Houndoom,Hyper Beam,66.7,Overheat,193.5,0,-1.27
Venusaur,Mega Tyranitar,Frenzy Plant,134.9,Giga Impact,98.7,0,0.36
Venusaur,Mega Gardevoir,Sludge Wave,96.5,Future Sight,202.6,0,-1.06
Venusaur,Mega Sableye,Frenzy Plant,98.4,Foul Play,36.8,1,0.92
Venusaur,Mega Aggron,Frenzy Plant,113.8,Head Smash,132.3,0.19999999999999996,-0.13
Venusaur,Mega Medicham,Frenzy Plant,116.3,Zen Headbutt,224.5,0,-1.08
Venusaur,Mega Manectric,Frenzy Plant,113.8,Thunderbolt,32.9,0,0.81
Venusaur,Mega Sharpedo,Frenzy Plant,264.8,Crunch,107.1,0,1.58
Venusaur,Mega Camerupt,Frenzy Plant,91,Eruption,296.8,1,-1.76
Venusaur,Mega Altaria,Sludge Wave,112,Sky Attack,139.4,0,-0.27
Venusaur,Mega Banette,Frenzy Plant,114.4,Poltergeist,109,0,0.05
Venusaur,Mega Chimecho,Frenzy Plant,39.3,Future Sight,174.2,0.19999999999999996,-1.29
Venusaur,Mega Absol,Frenzy Plant,145.7,Giga Impact,92.9,0,0.53
Venusaur,Mega Glalie,Frenzy Plant,106.5,Explosion,131,0,-0.25
Venusaur,Mega Lopunny,Frenzy Plant,101.4,Close Combat,51.6,0,0.5
Venusaur,Mega Garchomp,Frenzy Plant,78.7,Earthquake,102.6,0,-0.24
Venusaur,Mega Lucario,Frenzy Plant,62.1,Meteor Mash,109.7,0,-0.48
Venusaur,Mega Abomasnow,Sludge Wave,101.8,Ice Hammer,170.3,0.7,-0.48
Venusaur,Mega Gallade,Frenzy Plant,86,Giga Impact,99.4,0,-0.13
Venusaur,Mega Froslass,Frenzy Plant,95.2,Blizzard,163.9,0,-0.69
Venusaur,Mega Emboar,Hyper Beam,45.9,Flare Blitz,220.6,0,-1.75
Venusaur,Mega Excadrill,Frenzy Plant,103.8,Earthquake,99.4,0,0.04
Venusaur,Mega Audino,Sludge Wave,82,Hyper Beam,77.4,0.19999999999999996,0.11
Venusaur,Mega Chandelure,Frenzy Plant,46.7,Heat Wave,167.7,0,-1.21
Venusaur,Mega Golurk,Frenzy Plant,161,Headlong Rush,116.1,0.19999999999999996,0.51
Venusaur,Mega Chesnaught,Sludge Wave,95.7,Body Press,32.3,0.7,0.84
Venusaur,Mega Delphox,Hyper Beam,50.7,Heat Wave,156.1,0,-1.05
Venusaur,Mega Greninja,Frenzy Plant,221.8,Ice Beam,86.5,0,1.35
Venusaur,Mega Floette,Sludge Wave,85.9,Moonblast,50.3,0,0.36
Venusaur,Mega Meowstic,Frenzy Plant,91.3,Expanding Force,121.3,0,-0.3
Venusaur,Mega Hawlucha,Hyper Beam,63.4,Brave Bird,209,0,-1.46
Venusaur,Mega Crabominable,Frenzy Plant,75.6,Ice Hammer,229,0.7,-1.32
Venusaur,Mega Drampa,Hyper Beam,52.9,Draco Meteor,107.1,0.7,-0.33
Venusaur,Mega Scovillain,Sludge Wave,142.9,Flare Blitz,210.3,0,-0.67
Venusaur,Mega Glimmora,Frenzy Plant,89.9,Sludge Bomb,95.5,0,-0.06
Charizard,Venusaur,Heat Wave,120,Hyper Beam,68.6,0,0.51
Charizard,Blastoise,Solar Beam,97.4,Water Spout,184.3,0,-0.87
Charizard,Beedrill,Heat Wave,158.6,Giga Impact,69.9,0,0.89
Charizard,Pidgeot,Heat Wave,77.8,Giga Impact,96.7,0,-0.19
Charizard,Arbok,Heat Wave,83,Gunk Shot,86.3,0,-0.03
Charizard,Pikachu,Heat Wave,141.8,Volt Tackle,126.8,0,0.15
Charizard,Raichu,Heat Wave,82.2,Volt Switch,58.8,0,0.23
Charizard,Raichu-Alola,Heat Wave,78.5,Volt Tackle,102,0,-0.23
Charizard,Clefable,Heat Wave,60,Hyper Beam,66,0.19999999999999996,0
Charizard,Ninetales,Solar Beam,26.4,Hyper Beam,60.1,0,-0.34
Charizard,Ninetales-Alola,Heat Wave,125.7,Hyper Beam,60.1,0,0.66
Charizard,Arcanine,Heat Wave,33.3,Flare Blitz,47.1,0,-0.14
Charizard,Arcanine-Hisui,Solar Beam,54.7,Rock Slide,245.8,0,-1.91
Charizard,Alakazam,Heat Wave,74.6,Future Sight,100.7,0,-0.26
Charizard,Machamp,Heat Wave,64.2,Giga Impact,88.9,0.19999999999999996,-0.19
Charizard,Victreebel,Heat Wave,158.7,Giga Impact,76.5,0,0.82
Charizard,Slowbro,Solar Beam,109.4,Surf,122.9,0.7,0.07
Charizard,Slowbro-Galar,Heat Wave,72.4,Giga Impact,74.5,0.7,0.19
Charizard,Gengar,Heat Wave,86.7,Sludge Bomb,74.5,0,0.12
Charizard,Kangaskhan,Heat Wave,61.7,Double-Edge,86.3,0,-0.25
Charizard,Starmie,Solar Beam,131.9,Liquidation,66.7,0,0.65
Charizard,Pinsir,Heat Wave,175.7,Giga Impact,86.3,0,0.89
Charizard,Tauros,Heat Wave,82,Giga Impact,111.8,0,-0.3
Charizard,Tauros-Paldea-Combat,Heat Wave,82,Giga Impact,79.1,0,0.03
Charizard,Tauros-Paldea-Blaze,Heat Wave,40.7,Giga Impact,79.1,0,-0.38
Charizard,Tauros-Paldea-Aqua,Solar Beam,137.3,Wave Crash,189.5,0,-0.52
Charizard,Gyarados,Solar Beam,45.9,Aqua Tail,156.9,0,-1.11
Charizard,Ditto,Heat Wave,130.1,Struggle,0,0.19999999999999996,1.36
Charizard,Vaporeon,Solar Beam,79,Surf,130.7,0.19999999999999996,-0.46
Charizard,Jolteon,Heat Wave,69.3,Thunderbolt,130.7,0,-0.61
Charizard,Flareon,Solar Beam,25.7,Last Resort,83,0.19999999999999996,-0.51
Charizard,Aerodactyl,Solar Beam,63.2,Rock Slide,230.1,0,-1.67
Charizard,Snorlax,Solar Beam,30.6,Body Slam,67.3,0.7,-0.16
Charizard,Dragonite,Heat Wave,13.9,Draco Meteor,57.5,0,-0.44
Charizard,Meganium,Heat Wave,120,Hyper Beam,60.8,0,0.59
Charizard,Typhlosion,Heat Wave,34.6,Hyper Beam,72.5,0,-0.38
Charizard,Typhlosion-Hisui,Heat Wave,35.8,Shadow Ball,61.4,0,-0.26
Charizard,Feraligatr,Solar Beam,113.8,Liquidation,169.9,0,-0.56
Charizard,Ariados,Heat Wave,169.7,Giga Impact,69.9,0.7,1.21
Charizard,Ampharos,Heat Wave,61.8,Meteor Beam,240.5,0.19999999999999996,-1.73
Charizard,Azumarill,Solar Beam,106.3,Aqua Jet,47.1,0.19999999999999996,0.65
Charizard,Politoed,Solar Beam,94.5,Surf,115,0,-0.2
Charizard,Espeon,Heat Wave,69.3,Power Gem,175.2,0,-1.06
Charizard,Umbreon,Heat Wave,44.1,Last Resort,53.6,0.19999999999999996,-0.04
Charizard,Slowking,Solar Beam,84.7,Surf,122.9,0.7,-0.17
