name,type1,type2,abilities,moves,hp,attack,defense,sp_atk,sp_def,speed,bst
Arcanine,Fire,,Intimidate|Flash Fire|Justified|Rock Head,Aerial Ace|Agility|Bite|Body Slam|Bulldoze|Burn Up|Charm|Close Combat|Covet|Crunch|Curse|Dig|Double-Edge|Dragon Pulse|Endure|Extreme Speed|Facade|Fire Blast|Fire Fang|Fire Spin|Flame Charge|Flamethrower|Flare Blitz|Giga Impact|Heat Crash|Heat Wave|Helping Hand|Howl|Hyper Beam|Hyper Voice|Iron Head|Iron Tail|Morning Sun|Outrage|Overheat|Play Rough|Protect|Psychic Fangs|Raging Fury|Rest|Reversal|Roar|Round|Scary Face|Scorching Sands|Sleep Talk|Snarl|Snore|Solar Beam|Substitute|Sunny Day|Temper Flare|Thief|Thrash|Thunder Fang|Wild Charge|Will-O-Wisp,90,110,80,100,80,95,555
Alakazam,Psychic,,Synchronize|Inner Focus|Magic Guard,Ally Switch|Attract|Body Slam|Calm Mind|Dazzling Gleam|Disable|Double Team|Drain Punch|Encore|Endure|Energy Ball|Expanding Force|Facade|Fire Punch|Fling|Focus Blast|Foul Play|Future Sight|Giga Impact|Grass Knot|Guard Split|Guard Swap|Hyper Beam|Ice Punch|Imprison|Iron Tail|Light Screen|Magic Room|Mega Kick|Nasty Plot|Power Swap|Protect|Psychic|Psychic Terrain|Psycho Cut|Psyshock|Rain Dance|Recover|Reflect|Rest|Role Play|Round|Safeguard|Shadow Ball|Skill Swap|Sleep Talk|Snore|Speed Swap|Stored Power|Substitute|Sunny Day|Taunt|Thief|Thunder Punch|Thunder Wave|Tri Attack|Trick|Trick Room|Wonder Room|Zen Headbutt,55,50,45,135,95,120,500
Machamp,Fighting,,Guts|No Guard|Steadfast,Assurance|Attract|Body Slam|Brick Break|Brutal Swing|Bulk Up|Bulldoze|Bullet Punch|Close Combat|Coaching|Counter|Cross Chop|Cross Poison|Darkest Lariat|Detect|Dig|Double-Edge|Drain Punch|Dynamic Punch|Earthquake|Encore|Endure|Facade|Fire Blast|Fire Punch|Flamethrower|Fling|Focus Blast|Focus Energy|Giga Impact|Heavy Slam|Helping Hand|High Horsepower|Hyper Beam|Ice Punch|Knock Off|Light Screen|Low Kick|Low Sweep|Mega Kick|Payback|Poison Jab|Protect|Quick Guard|Rain Dance|Rest|Reversal|Rock Blast|Rock Slide|Rock Tomb|Round|Scary Face|Seismic Toss|Sleep Talk|Snore|Stomping Tantrum|Stone Edge|Storm Throw|Substitute|Sunny Day|Superpower|Thief|Throat Chop|Thunder Punch|Tickle|Wide Guard,90,130,80,65,85,55,505
Victreebel,Grass,Poison,Chlorophyll|Gluttony,Acid Spray|Body Slam|Bug Bite|Bullet Seed|Clear Smog|Encore|Endure|Energy Ball|Facade|Gastro Acid|Giga Drain|Giga Impact|Grass Knot|Grassy Glide|Growth|Hyper Beam|Ingrain|Knock Off|Leaf Blade|Leaf Storm|Leech Life|Lunge|Poison Jab|Poison Powder|Pounce|Power Whip|Protect|Reflect|Rest|Round|Scary Face|Seed Bomb|Sleep Powder|Sleep Talk|Sludge Bomb|Sludge Wave|Snore|Solar Beam|Spit Up|Stockpile|Strength Sap|Stun Spore|Substitute|Sucker Punch|Sunny Day|Swallow|Sweet Scent|Swords Dance|Synthesis|Thief|Tickle|Toxic|Toxic Spikes|Trailblaze|Venoshock|Weather Ball|Worry Seed|Wrap,80,105,65,100,70,70,490
Slowbro,Water,Psychic,Oblivious|Own Tempo|Regenerator|Quick Draw,Amnesia|Avalanche|Belch|Belly Drum|Blizzard|Block|Body Press|Body Slam|Brick Break|Bulldoze|Calm Mind|Chilling Water|Curse|Dig|Disable|Dive|Drain Punch|Earthquake|Endure|Expanding Force|Facade|Fire Blast|Flamethrower|Fling|Focus Blast|Focus Punch|Foul Play|Future Sight|Giga Impact|Grass Knot|Heal Pulse|Helping Hand|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Icy Wind|Imprison|Iron Defense|Iron Tail|Light Screen|Liquidation|Mud Shot|Muddy Water|Nasty Plot|Protect|Psych Up|Psychic|Psychic Noise|Psychic Terrain|Psyshock|Rain Dance|Razor Shell|Rest|Round|Safeguard|Scald|Shadow Ball|Skill Swap|Slack Off|Sleep Talk|Snore|Snowscape|Stored Power|Substitute|Sunny Day|Surf|Thunder Wave|Tri Attack|Trick|Trick Room|Water Pulse|Waterfall|Weather Ball|Whirlpool|Wonder Room|Yawn|Zen Headbutt,95,75,110,100,80,30,490
Gengar,Ghost,Poison,Cursed Body,Acid Spray|Body Slam|Brick Break|Clear Smog|Confuse Ray|Corrosive Gas|Curse|Dark Pulse|Dazzling Gleam|Destiny Bond|Disable|Drain Punch|Endure|Energy Ball|Facade|Fire Punch|Fling|Focus Blast|Focus Punch|Foul Play|Giga Drain|Giga Impact|Gunk Shot|Haze|Hex|Hyper Beam|Hypnosis|Ice Punch|Icy Wind|Imprison|Knock Off|Mean Look|Nasty Plot|Night Shade|Pain Split|Payback|Perish Song|Phantom Force|Poison Jab|Poltergeist|Protect|Psych Up|Psychic|Psychic Noise|Rain Dance|Reflect Type|Rest|Round|Scary Face|Self-Destruct|Shadow Ball|Shadow Claw|Shadow Punch|Skill Swap|Skitter Smack|Sleep Talk|Sludge Bomb|Sludge Wave|Snore|Spite|Substitute|Sucker Punch|Sunny Day|Taunt|Thief|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Toxic|Toxic Spikes|Trick|Trick Room|Venoshock|Will-O-Wisp|Wonder Room,60,65,60,130,75,110,500
Kangaskhan,Normal,,Early Bird|Scrappy|Inner Focus,Assurance|Attract|Avalanche|Beat Up|Bite|Blizzard|Body Slam|Brick Break|Bulldoze|Circle Throw|Counter|Crunch|Dig|Disable|Double Hit|Double-Edge|Drain Punch|Dynamic Punch|Earthquake|Endeavor|Endure|Facade|Fake Out|Fire Blast|Fire Punch|Flamethrower|Fling|Focus Blast|Focus Energy|Giga Impact|Hammer Arm|Helping Hand|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Icy Wind|Iron Tail|Last Resort|Low Kick|Mega Kick|Outrage|Protect|Rain Dance|Rest|Reversal|Rock Slide|Rock Tomb|Round|Safeguard|Sandstorm|Shadow Ball|Shadow Claw|Sleep Talk|Snore|Solar Beam|Substitute|Sucker Punch|Sunny Day|Surf|Terrain Pulse|Thief|Thunder|Thunder Punch|Thunderbolt|Uproar|Whirlpool,105,95,80,40,80,90,490
Starmie,Water,Psychic,Illuminate|Natural Cure|Analytic,Agility|Ally Switch|Ancient Power|Aqua Jet|Avalanche|Blizzard|Bulk Up|Charge Beam|Chilling Water|Confuse Ray|Cosmic Power|Dazzling Gleam|Dive|Double-Edge|Endure|Expanding Force|Facade|Flash Cannon|Flip Turn|Giga Impact|Grass Knot|Gravity|Gyro Ball|Hydro Pump|Hyper Beam|Ice Beam|Ice Spinner|Icy Wind|Light Screen|Liquidation|Meteor Beam|Minimize|Power Gem|Protect|Psychic|Psycho Cut|Psyshock|Rain Dance|Rapid Spin|Recover|Reflect|Rest|Round|Safeguard|Scald|Self-Destruct|Skill Swap|Sleep Talk|Snore|Substitute|Surf|Thunder|Thunder Wave|Thunderbolt|Tri Attack|Trick|Trick Room|Water Pulse|Waterfall|Whirlpool|Wonder Room|Zen Headbutt,60,75,85,100,85,115,520
Pinsir,Bug,,Hyper Cutter|Mold Breaker|Moxie,Aerial Ace|Attract|Bind|Body Slam|Brick Break|Brutal Swing|Bug Bite|Bulk Up|Bulldoze|Circle Throw|Close Combat|Detect|Dig|Double Hit|Earthquake|Endure|Facade|Feint|Flail|Fling|Focus Blast|Focus Energy|Giga Impact|Guillotine|Hard Press|Helping Hand|High Horsepower|Hyper Beam|Iron Defense|Lunge|Pounce|Protect|Quick Attack|Rain Dance|Rest|Reversal|Rock Slide|Rock Tomb|Round|Seismic Toss|Sleep Talk|Snore|Stealth Rock|Stone Edge|Storm Throw|Substitute|Sunny Day|Superpower|Swords Dance|Thief|Thrash|Throat Chop|X-Scissor,65,125,100,55,70,85,500
Tauros,Normal,,Intimidate|Anger Point|Sheer Force|Cud Chew,Assurance|Blizzard|Body Slam|Bulldoze|Close Combat|Curse|Dig|Double-Edge|Earthquake|Endeavor|Endure|Facade|Fire Blast|Flamethrower|Giga Impact|Helping Hand|High Horsepower|Hyper Beam|Ice Beam|Icy Wind|Iron Head|Iron Tail|Lash Out|Megahorn|Outrage|Payback|Protect|Raging Bull|Rain Dance|Rest|Reversal|Rock Slide|Rock Tomb|Round|Sandstorm|Scary Face|Shadow Ball|Sleep Talk|Smart Strike|Snore|Solar Beam|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Surf|Swagger|Thief|Thrash|Throat Chop|Thunder|Thunderbolt|Trailblaze|Uproar|Whirlpool|Wild Charge|Zen Headbutt,75,100,95,40,70,110,490
Gyarados,Water,Flying,Intimidate|Moxie,Aqua Tail|Avalanche|Bite|Blizzard|Body Slam|Bounce|Brutal Swing|Bulldoze|Chilling Water|Crunch|Dark Pulse|Dive|Double-Edge|Dragon Cheer|Dragon Dance|Dragon Pulse|Dragon Rush|Dragon Tail|Earthquake|Endeavor|Endure|Facade|Fire Blast|Flail|Flamethrower|Giga Impact|Helping Hand|Hurricane|Hydro Pump|Hyper Beam|Ice Beam|Ice Fang|Icy Wind|Iron Head|Iron Tail|Lash Out|Muddy Water|Outrage|Payback|Power Whip|Protect|Rain Dance|Rest|Roar|Round|Sandstorm|Scald|Scale Shot|Scary Face|Sleep Talk|Snore|Spite|Stone Edge|Substitute|Sunny Day|Surf|Swagger|Taunt|Temper Flare|Thrash|Thunder|Thunder Wave|Thunderbolt|Uproar|Water Pulse|Waterfall|Whirlpool,95,125,79,60,100,81,540
Ditto,Normal,,Limber|Imposter,Transform,48,48,48,48,48,48,288
Vaporeon,Water,,Water Absorb|Hydration,Acid Armor|Alluring Voice|Aqua Ring|Baby-Doll Eyes|Baton Pass|Bite|Blizzard|Body Slam|Calm Mind|Charm|Chilling Water|Copycat|Covet|Curse|Detect|Dig|Dive|Double-Edge|Endure|Facade|Fake Tears|Flail|Flip Turn|Focus Energy|Giga Impact|Haze|Helping Hand|Hydro Pump|Hyper Beam|Hyper Voice|Ice Beam|Icy Wind|Iron Tail|Last Resort|Liquidation|Mud-Slap|Muddy Water|Protect|Quick Attack|Rain Dance|Rest|Roar|Round|Scald|Shadow Ball|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Surf|Tickle|Trailblaze|Water Pulse|Waterfall|Weather Ball|Whirlpool|Wish|Yawn,130,65,60,110,95,65,525
Jolteon,Electric,,Volt Absorb|Quick Feet,Agility|Alluring Voice|Baby-Doll Eyes|Baton Pass|Bite|Body Slam|Calm Mind|Charge|Charge Beam|Charm|Copycat|Covet|Curse|Detect|Dig|Discharge|Double-Edge|Eerie Impulse|Electric Terrain|Electro Ball|Electroweb|Endure|Facade|Fake Tears|Flail|Focus Energy|Giga Impact|Helping Hand|Hyper Beam|Hyper Voice|Last Resort|Light Screen|Metal Sound|Mud-Slap|Pin Missile|Protect|Quick Attack|Rain Dance|Rest|Rising Voltage|Roar|Round|Shadow Ball|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Thunder|Thunder Fang|Thunder Wave|Thunderbolt|Tickle|Trailblaze|Volt Switch|Weather Ball|Wild Charge|Wish|Yawn,65,65,60,110,95,130,525
Flareon,Fire,,Flash Fire|Guts,Alluring Voice|Baby-Doll Eyes|Baton Pass|Bite|Body Slam|Burning Jealousy|Calm Mind|Charm|Copycat|Covet|Curse|Detect|Dig|Double-Edge|Endeavor|Endure|Facade|Fake Tears|Fire Blast|Fire Fang|Fire Spin|Flail|Flame Charge|Flamethrower|Flare Blitz|Focus Energy|Giga Impact|Heat Wave|Helping Hand|Hyper Beam|Hyper Voice|Last Resort|Lava Plume|Mud-Slap|Overheat|Protect|Quick Attack|Rain Dance|Rest|Roar|Round|Scary Face|Scorching Sands|Shadow Ball|Sleep Talk|Snore|Stored Power|Substitute|Sunny Day|Superpower|Temper Flare|Tickle|Trailblaze|Weather Ball|Will-O-Wisp|Wish|Yawn,65,130,60,95,110,65,525
Aerodactyl,Rock,Flying,Rock Head|Pressure|Unnerve,Aerial Ace|Agility|Ancient Power|Assurance|Attract|Bite|Brutal Swing|Bulldoze|Crunch|Curse|Dragon Claw|Dragon Dance|Dragon Pulse|Dual Wingbeat|Earth Power|Earthquake|Endure|Facade|Fire Blast|Fire Fang|Flamethrower|Fly|Giga Impact|Heat Wave|Hurricane|Hyper Beam|Ice Fang|Iron Head|Iron Tail|Meteor Beam|Payback|Protect|Psychic Fangs|Rain Dance|Rest|Roar|Rock Blast|Rock Slide|Rock Tomb|Roost|Round|Sandstorm|Scary Face|Sky Attack|Sleep Talk|Snore|Stealth Rock|Steel Wing|Stone Edge|Substitute|Sunny Day|Swagger|Tailwind|Taunt|Thief|Thunder Fang|Whirlwind|Wide Guard,80,105,65,60,75,130,515
Snorlax,Normal,,Immunity|Thick Fat|Gluttony,Amnesia|Attract|Belch|Belly Drum|Bite|Blizzard|Block|Body Press|Body Slam|Brick Break|Bulldoze|Charm|Chilling Water|Counter|Covet|Crunch|Curse|Dig|Double-Edge|Earthquake|Encore|Endure|Facade|Fire Blast|Fire Punch|Fissure|Flail|Flamethrower|Fling|Focus Blast|Focus Punch|Gastro Acid|Giga Impact|Gunk Shot|Hammer Arm|Hard Press|Heat Crash|Heavy Slam|Helping Hand|High Horsepower|Hydro Pump|Hyper Beam|Hyper Voice|Ice Beam|Ice Punch|Icy Wind|Iron Head|Last Resort|Mud-Slap|Outrage|Protect|Rain Dance|Recycle|Rest|Rock Slide|Rock Tomb|Round|Sandstorm|Screech|Seed Bomb|Self-Destruct|Shadow Ball|Sleep Talk|Smack Down|Snore|Solar Beam|Stockpile|Stomping Tantrum|Substitute|Sunny Day|Supercell Slam|Superpower|Surf|Swallow|Terrain Pulse|Thunder|Thunder Punch|Thunderbolt|Trailblaze|Uproar|Wild Charge|Yawn|Zen Headbutt,160,110,65,65,110,30,540
Dragonite,Dragon,Flying,Inner Focus|Multiscale,Aerial Ace|Agility|Air Cutter|Air Slash|Aqua Jet|Aqua Tail|Blizzard|Body Press|Body Slam|Breaking Swipe|Brick Break|Brutal Swing|Bulldoze|Chilling Water|Dive|Draco Meteor|Dragon Cheer|Dragon Claw|Dragon Dance|Dragon Pulse|Dragon Rush|Dragon Tail|Earthquake|Endure|Extreme Speed|Facade|Fire Blast|Fire Punch|Fire Spin|Flamethrower|Fling|Fly|Focus Blast|Focus Punch|Giga Impact|Haze|Heat Wave|Helping Hand|Hurricane|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Ice Spinner|Icy Wind|Iron Head|Iron Tail|Light Screen|Low Kick|Mega Kick|Outrage|Protect|Rain Dance|Rest|Roar|Rock Slide|Rock Tomb|Roost|Round|Safeguard|Sandstorm|Scale Shot|Scary Face|Sleep Talk|Snore|Snowscape|Steel Wing|Stomping Tantrum|Stone Edge|Substitute|Sunny Day|Superpower|Surf|Tailwind|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Water Pulse|Waterfall|Weather Ball|Whirlwind|Wrap,91,134,95,100,100,80,600
Meganium,Grass,,Overgrow|Leaf Guard,Ancient Power|Body Press|Body Slam|Bulldoze|Bullet Seed|Charm|Counter|Curse|Dazzling Gleam|Double-Edge|Dragon Tail|Earth Power|Earthquake|Encore|Endeavor|Endure|Energy Ball|Facade|Fake Tears|Flail|Frenzy Plant|Giga Drain|Giga Impact|Grass Knot|Grassy Glide|Grassy Terrain|Heal Pulse|Helping Hand|Hyper Beam|Ingrain|Iron Tail|Knock Off|Leaf Blade|Leaf Storm|Leech Seed|Light Screen|Mud-Slap|Outrage|Petal Blizzard|Petal Dance|Poison Powder|Pollen Puff|Protect|Reflect|Rest|Round|Safeguard|Seed Bomb|Sleep Talk|Snore|Solar Beam|Solar Blade|Stomping Tantrum|Substitute|Sunny Day|Sweet Scent|Swords Dance|Synthesis|Trailblaze|Weather Ball|Zen Headbutt,80,82,100,83,100,80,525
Typhlosion,Fire,,Blaze|Flash Fire|Frisk,Aerial Ace|Blast Burn|Body Slam|Brick Break|Bulldoze|Burn Up|Burning Jealousy|Covet|Curse|Dig|Double-Edge|Earthquake|Endeavor|Endure|Eruption|Extrasensory|Facade|Fire Blast|Fire Fang|Fire Punch|Fire Spin|Flame Charge|Flamethrower|Flare Blitz|Fling|Focus Blast|Focus Punch|Giga Impact|Gyro Ball|Heat Wave|Helping Hand|Howl|Hyper Beam|Inferno|Iron Head|Lava Plume|Low Kick|Mega Kick|Overheat|Play Rough|Protect|Quick Attack|Rest|Reversal|Roar|Rock Slide|Rock Tomb|Round|Scorching Sands|Shadow Ball|Shadow Claw|Sleep Talk|Snore|Solar Beam|Stomping Tantrum|Substitute|Sunny Day|Temper Flare|Throat Chop|Thunder Punch|Wild Charge|Will-O-Wisp|Zen Headbutt,78,84,78,109,85,100,534
Feraligatr,Water,,Torrent|Sheer Force,Aerial Ace|Agility|Ancient Power|Aqua Jet|Aqua Tail|Avalanche|Bite|Blizzard|Block|Body Slam|Breaking Swipe|Brick Break|Brutal Swing|Bulldoze|Chilling Water|Counter|Crunch|Curse|Dig|Dive|Double-Edge|Dragon Claw|Dragon Dance|Dragon Pulse|Dragon Tail|Earthquake|Endeavor|Endure|Facade|Fake Tears|Flail|Flatter|Fling|Flip Turn|Focus Blast|Focus Punch|Giga Impact|Helping Hand|Hydro Cannon|Hydro Pump|Hyper Beam|Ice Beam|Ice Fang|Ice Punch|Icy Wind|Iron Tail|Lash Out|Liquidation|Low Kick|Mega Kick|Mud Shot|Mud-Slap|Muddy Water|Outrage|Protect|Psychic Fangs|Rain Dance|Rest|Roar|Rock Slide|Rock Tomb|Round|Scale Shot|Scary Face|Screech|Shadow Claw|Sleep Talk|Snarl|Snore|Spite|Stomping Tantrum|Substitute|Superpower|Surf|Swords Dance|Thief|Thrash|Trailblaze|Uproar|Water Pulse|Waterfall|Whirlpool,85,105,100,79,83,78,530
